sentence,processed_text,sentiment,token_count,original_length,processed_length
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",board directors propose dividend eur0 12 per share 2010 eur0 08 per share paid 2009,positive,15,125,83
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon subscriber base increased 161 2009 505 million users december 31 market share number customers amounted 24 late 2009 23 late 2008 according teliasonera estimates,positive,25,246,169
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009,positive,25,182,133
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sales increased eur193 eur179 pretax profit rose 342 eur43 eur1 usd1,positive,12,118,72
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sales surged 185 eur167 teleste said eur20 122 sales came acquisitions made 2009,positive,14,140,84
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group operating profit increased 2010 18 percent yearonyear 364 billion euros total revenue percent 933 billion euros,positive,18,154,124
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit ninemonth period increased eur13 net sales increased eur394 compared corresponding period 2005,positive,14,165,111
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit threemonth period increased eur1 revenue increased eur20 compared corresponding period 2005,positive,13,162,108
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",company net profit rose 114 year 822 million euros 2005 sales 6865 million euros 138 year company said earlier,positive,19,164,110
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",lithuanian beer market made 1441 million liters january rise 08 percent yearearlier figure lithuanian brewers association reporting citing results members,positive,20,206,154
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line cargo revenue increased 54 eur 2146 mn cargo volume increased 24 70116 cargo units,positive,16,125,94
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",fair value property portfolio doubled result kapiteeli acquisition totalled eur 26862 12597 million,positive,13,132,99
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday 2010 net profit almost tripled eur297 eur107 2009 announced proposal raised payout,positive,24,201,157
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today reported eps eur1 13 2009 increase eps eur1 12 2008,positive,13,103,72
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased 22 eur 44 mn lending volume rose 135,positive,11,87,64
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",january traffic measured revenue passenger kilometres rpk went 32 capacity measured available seat kilometres ask rose 122,positive,17,162,122
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",januaryseptember 2010 fiskars net profit went 14 yearonyear eur 654 million net sales eur 5253 million eur 4877 million,positive,19,157,119
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income life insurance rose eur 165 mn eur 140 mn net income nonlife insurance eur 226 mn eur 152 mn 2009,positive,22,150,108
Sales have risen in other export markets .,sales risen export markets,positive,4,42,26
Sales increased due to growing market rates and increased operations .,sales increased due growing market rates increased operations,positive,8,70,61
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthens longterm partnership nokia siemens networks,positive,7,81,65
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",company order book stood 15 bln euro 22 bln september 30 2007 242 pct year international orders amounting 365 mln euro 5343 mln,positive,23,177,127
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",company said paper demand increased main markets including publication papers increased average paper prices percent compared last year,positive,18,189,135
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit threemonth period dec 31 surged euro603 million us 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previous year,positive,33,251,196
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",shares standard chartered stan rose 12 ftse 100 royal bank scotland rbs shares rose barclays shares barc bcs 17,positive,19,172,111
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,shares nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,positive,18,164,128
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",financial report published friday seb said net profit soared sek6 745 bn 2010 yearearlier sek1 114 bn proposed 50 dividend increase sek1 50 per share,positive,25,197,149
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",request finnish media company alma media newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,neutral,29,290,224
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchange announcement 20 july 2006 basware share subscriptions warrants increase share capital total 119 850 shares subscribed basware warrant program,neutral,21,198,156
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum 666104 new shares subscribed exercising options 2004 stock option plan,neutral,11,120,78
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari operates 194 stores six countries including core finnish market generated turnover 765 mln eur 2005,neutral,16,135,107
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisition considerably increase kemira sales market position russian metal industry coatings market,positive,12,126,101
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",januaryseptember 2007 finnlines net sales rose eur 5054 mn eur 4735 mn corresponding period 2006,positive,15,126,96
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjusted changes group structure division net sales increased 17,positive,9,92,64
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",february 2011 finnish broadband data communication systems provider teleste oyj hel tlt1v saw net profit jump eur2 last quarter 2010 eur995 000 period 2009,positive,24,208,155
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,finnish aktia group operating profit rose eur 175 mn first quarter 2010 eur 82 mn first quarter 2009,positive,18,135,100
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,finnish bank land consolidated net operating profit increased eur 48 mn first quarter 2005 eur 64 mn first quarter 2006,positive,20,159,119
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group aktia reports operating profit eur 444 mn januaryseptember 2009 eur 373 mn corresponding period 2008,positive,18,155,124
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider vaahto group reports net sales eur 418 mn accounting period september 2007 february 2008 increase 112 year earlier,positive,22,180,147
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sales finnish food industry company lnnen tehtaat continuing operations increased 13 2008 eur 3491 mn eur 3096 mn 2007,positive,20,153,122
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,biohit already services many current genesis customers customer base expected expand result agreement,positive,13,130,101
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",operating profit turnover threemonth period increased respectively eur0 eur8 compared corresponding period 2005,positive,13,167,111
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increased finland sweden 2008,positive,6,79,49
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,clothing chain seppl net sales increased 70 eur 308 mn,positive,10,73,54
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construction volumes meanwhile grow rate 1015 percent annually,positive,8,73,62
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",however biohit estimates total net sales continue grow 2009 favourable trends net sales lead profit 2009,positive,16,150,104
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2009 fiskars cash flow operating activities amounted eur121m eur97m previous year,positive,11,115,81
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",lithuania operating profit rose eur 190000 eur 70000 corresponding period 2005,positive,11,105,78
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",fourth quarter 2008 net sales increased eur 10507 mn eur 10270 mn fourth quarter 2007,positive,15,128,85
"International sales rose by 59.8 % to EUR 1,244.4 mn .",international sales rose 598 eur 12444 mn,positive,7,54,41
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sales grew period x20ac 402 million 585us million x20ac 401 million 2006,positive,13,100,76
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sales increased eur655m april june 2010 eur438m year earlier,positive,10,82,64
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sales rose 255 yearonyear eur59 number chargers delivered went 41 659 million pieces,positive,14,130,88
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sales totaled eur 936 mn eur 932 mn corresponding period 2005,positive,12,89,65
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,operating profit increased 1451 eur 83 mn eur 34 mn,positive,10,69,51
Operating profit margin increased from 11.2 % to 11.7 % .,operating profit margin increased 112 117,positive,6,57,41
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,operating profit rose eur 311 mn eur 122 mn corresponding period 2009,positive,12,91,69
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,operating profit rose eur 5mn eur 28 mn fourth quarter 2008,positive,11,80,59
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",operating profit eur 245 mn eur 230 mn,positive,8,56,38
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",ramirent net sales second quarterended june 30 euro 1287 million us 163 million 33percent increase compared euro 1246 million thesecond quarter last year,positive,23,197,153
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",revenue grew percent x20ac 580 million 743 million x20ac 569 million,positive,11,89,68
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",ruukki delivery volumes selling prices showed favourable development company comparable net sales grew 50 yearonyear eur647m ceo sakari tamminen said,positive,20,181,149
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",company consolidated operating profit amounted eur 1586 mn eur 414 mn yearonyear,positive,12,106,80
The Department Store Division reported an increase in sales of 4 per cent .,department store division reported increase sales per cent,positive,8,75,58
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,fair value company investment properties grew eur 2803 billion end march 2009 eur 2691 million year ago,positive,17,141,103
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",last quarter best quarter 2009 net sales operating margin rose 122,positive,11,102,66
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",major breweries increased domestic beer sales 45 per cent last year 25688 million litres 24592 million litres 2004,positive,18,145,114
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,operating profit rose 269 eur 1058 834 million,positive,8,65,46
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,21 october 2010 finnish fishing tackle company rapala vmc corp hel rap1v said today net profit rose eur18 first nine months 2010 eur15 period year earlier,positive,26,212,154
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",according finnish metso minerals value company orders gone eur 19 bn 12 months,positive,13,113,78
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,finnish bank land reports operating profit rose eur 213 mn second quarter 2009 eur 61 mn corresponding period 2008,positive,19,155,114
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,finnish financial group aktia operating profit 2009 increased eur 470 mn eur 66 mn 2008,positive,15,109,87
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,finnish forest machinery manufacturer ponsse net sales grew eur 513 mn first quarter 2010 eur 375 mn corresponding period 2009,positive,20,161,126
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,finnish kci konecranes raised net sales growth estimate 2006 25 35,positive,11,102,66
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",according hkscan finland plan increase jrvisuomen portti net sales eur 80mn eur 100mn,positive,13,114,85
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",advertising circulation revenues grew 34 04 respectively,positive,7,80,56
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",end march 2007 group order book eur 396 mn 42 corresponding period 2006,positive,13,119,71
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",time profit company increased 10 h1 reached ls 79000,positive,9,86,52
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",operating profit net sales 12month period increased respectively eur10 eur28 compared financial year 2004,positive,14,158,105
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",operating profit net sales 12month period increased respectively eur20 eur177 compared financial year 2004,positive,14,159,106
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",operating profit net sales 12month period increased respectively eur21 eur196 compared 2005,positive,12,140,91
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",operating profit net sales 12month period increased respectively eur4 eur26 compared 2004,positive,12,138,89
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",operating profit net sales ninemonth period increased respectively 266 34 compared corresponding period 2006,positive,14,158,108
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",operating profit net sales sixmonth period increased respectively eur13 eur143 compared corresponding period 2007,positive,14,171,113
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",operating profit net sales sixmonth period increased respectively eur0 eur3 compared corresponding period 2005,positive,14,166,110
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",operating profit net sales sixmonth period increased respectively eur18 eur127 compared corresponding period 2006,positive,14,169,113
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",operating profit net sales sixmonth period increased respectively eur7 eur655 compared corresponding period 2005,positive,14,168,112
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",operating profit net sales threemonth period increased respectively eur15 eur131 compared corresponding period 2005,positive,14,171,115
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",operating profit net sales threemonth period increased respectively eur16 eur139m compared corresponding quarter 2006,positive,14,168,117
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",operating profit sales threemonth period increased respectively eur0 eur13 compared corresponding period 2005,positive,13,165,109
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",operating profit turnover ninemonth period increased respectively eur2 eur43 compared corresponding period year ago,positive,14,170,115
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",operating profit turnover sixmonth period increased respectively eur17 eur1149 compared corresponding period 2007,positive,13,171,113
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",operating profit turnover sixmonth period increased respectively eur0 eur29 compared corresponding period year ago,positive,14,169,114
Cargo volume increased by approximately 5 % .,cargo volume increased approximately,positive,4,45,36
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",comparable operating profit totaled eur 854mn eur 730mn 2004,positive,9,75,60
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",digia said consolidated net sales januaryjune 2010 eur67 97 period 2009 eur61,positive,12,130,77
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,diluted earnings per share eps rose eur 029 eur 005,positive,10,67,51
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,diluted earnings per share eps rose eur 052 versus eur 009,positive,11,69,58
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,diluted earnings per share eps rose eur 105 eur 064,positive,10,67,51
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,diluted earnings per share eps rose eur 368 eur 050,positive,10,67,51
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,diluted eps rose eur3 68 eur0 50,positive,7,44,32
EBIT margin was up from 1.4 % to 5.1 % .,ebit margin 14 51,positive,4,40,17
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",eps continuing operations came 030 eur 017,positive,7,67,42
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",equity ratio 609 compared 542 third quarter 2007 net sales frozen foods business totaled eur 110 third quarter 2006,positive,19,180,115
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",eur928 000 q1 2010 may 2010 finnish textile clothing design company marimekko oyj hel mmo1v said today net profit rose eur928 000 first quarter 2010 eur13 000 corresponding period year earlier,positive,31,245,192
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",finlandbased elcoteq se privately held provider electronics manufacturing services communications companies said thursday signed longterm manufacturing supply deal communications equipment company andrew corp,positive,23,235,208
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit rose eur 241 million usd 336 third quarter 2010 eur 179 million year earlier,positive,28,202,157
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,finnish department store chain stockmann oyj abp net profit rose 398 mln euro 568 mln first nine months 2007 374 mln euro 534 mln period 2006,positive,26,194,141
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",finnish lifting equipment maker konecranes oyj said july 30 2008 net profit rose 712 mln euro 1111 mln first half 2008 571 mln euro 891 mln period 2007,positive,28,218,151
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,finnish metal industry solutions supplier outotec oyj net profit rose 504 mln euro 725 mln first nine months 2007 201 mln euro 289 mln period 2006,positive,26,199,146
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,finnish metal products company componenta oyj net profit rose 261 mln euro 359 mln first quarter 2007 53 mln euro 73 mln period 2006,positive,24,185,132
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,finnish office supplies computer accessories dealer belttongroup plc said net profit rose 13 mln euro 17 mln 2006 113 mln euro 15 mln 2005,positive,24,179,138
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",finnish security privacy software solutions developer stonesoft oyj said january 2008 preliminary sales stonegate products grew 59 pct yearonyear 36 mln euro 53 mln fourth quarter 2007,positive,27,240,184
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday august operating profit eur5 period januaryjune 2008 eur3 corresponding period 2007,positive,23,235,173
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,finnish software developer done solutions oyj said net profit increased 35 mln euro 46 mln 2006 23 mln euro 30 mln 2005,positive,22,155,119
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,first quarter underlying operating profit rose 41 mln eur 33 mln year earlier,positive,13,89,77
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",first nine months 2010 company net profit rose eur41m eur30m corresponding period 2009,positive,13,127,86
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",helsinki afx retail wholesale group kesko reported net sales 6594 mln eur february increase 108 pct yearonyear,positive,17,141,110
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",however net sales 2010 seen grown eur598 eur582 2009,positive,9,92,52
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",however sales returned growth apriljune 2010 ceo pekka eloholma said,positive,10,81,68
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",ragutis controlled finnish brewery reported 54percent rise beer sales 1044 million litres held 1109percent market share,positive,16,163,119
